,0
1444,5280592
1445,5678157
1446,6796786
1447,7700351
1448,8732980
1449,7865445
1450,8234795
1451,7195282
1452,7800754
1453,9754982
1454,9165217
1455,6618428
1456,6443410
1457,5334978
1458,7480936
1459,9001137
1460,9561699
1461,6694143
1462,8297401
1463,5879044
1464,7970923
1465,6878765
1466,6107078
1467,6097428
1468,9539932
1469,9636990
1470,5232706
1471,5090628
1472,7812936
1473,8625392
1474,7576818
1475,8710630
1476,8203768
1477,7257027
1478,6429438
1479,7830529
1480,7294293
1481,6099358
1482,6995031
1483,6616642
1484,9943181
1485,6721828
1486,9473423
1487,7592317
1488,6838442
1489,6491661
1490,6604512
1491,5827290
1492,5157895
1493,9466643
1494,9832282
1495,8153087
1496,6622952
1497,8309432
1498,6721407
1499,6440742
1500,9787962
1501,6561332
1502,8010924
1503,9601400
1504,9734552
1505,7594501
1506,9457761
1507,6594670
1508,7495257
1509,7491901
1510,8485456
1511,7565955
1512,9350220
1513,7177474
1514,7217033
1515,8444565
1516,6709044
1517,9975198
1518,7048295
1519,8677330
1520,6000138
1521,5848497
1522,5374712
1523,9778899
1524,8861037
1525,9899492
1526,7643462
1527,8578374
1528,6156172
1529,7326215
1530,7884314
1531,9130807
1532,7765348
1533,8820205
1534,6121362
1535,7360420
1536,9787281
1537,8568992
1538,8360033
1539,6428964
1540,7733420
1541,9665346
1542,9896204
1543,7781825
1544,6203263
1545,5936538
1546,6126112
1547,7651913
1548,6415901
1549,9067699
1550,9390339
1551,8262858
1552,6316542
1553,5623871
1554,5287259
1555,7568594
1556,8508046
1557,8588051
1558,7112884
1559,9601736
1560,5530903
1561,9313770
1562,5582418
1563,9731869
1564,5939798
1565,8019867
1566,8647324
1567,7891143
1568,9268852
1569,7806908
1570,9320744
1571,7091767
1572,8606821
1573,5211411
1574,9643483
1575,8737569
1576,5197220
1577,6585605
1578,7282941
1579,9691148
1580,9182642
1581,6720981
1582,8697590
1583,9117348
1584,6127773
1585,7685750
1586,9489311
1587,9897079
1588,6383920
1589,5075020
1590,9768833
1591,5657758
1592,6882657
