,Unnamed: 0.1,user_id,num_revs,nationality,group,age
3427,5079,8337030,2,Brazil,Couple,18-24
3428,5080,6463342,1,Germany,,not specified
3429,5084,9273567,1,Australia,Female,31-40
3430,5085,8940426,2,England,Female,25-30
3431,5088,9894838,1,USA,Female,41+
3432,5090,9100945,2,Singapore,Male,18-24
3433,5091,7422256,4,Germany,Female,18-24
3434,5092,8517845,6,USA,Couple,25-30
3435,5094,6872056,1,USA,,not specified
3436,5095,8990693,3,Portugal,Female,25-30
3437,5096,9830311,1,France,Male,18-24
3438,5098,6166129,2,USA,,not specified
3439,5100,6518556,1,Scotland,,not specified
3440,5101,9958707,1,Scotland,Female,18-24
3441,5102,8486209,1,Japan,,not specified
3442,5104,6902017,1,Malaysia,,not specified
3443,5106,7209807,4,Switzerland,Male,25-30
3444,5107,5386971,9,China,Female,25-30
3445,5108,6947537,1,Germany,,not specified
3446,5111,6295361,1,England,,not specified
3447,5113,6017029,1,Argentina,,not specified
3448,5115,9070634,2,Germany,Male,25-30
3449,5117,8087394,1,Indonesia,,not specified
3450,5118,9629028,1,England,,not specified
3451,5122,7210253,1,Canada,,not specified
3452,5123,8744939,2,Germany,Male,25-30
3453,5124,5923827,1,Poland,,not specified
3454,5125,7594728,1,USA,,not specified
3455,5127,5195408,1,USA,,not specified
3456,5128,9224384,2,Australia,,not specified
3457,5129,8062982,1,Australia,Female,18-24
3458,5131,7810508,1,Argentina,,not specified
3459,5133,6964936,1,USA,,not specified
3460,5134,6978388,1,Australia,,not specified
3461,5135,5304485,1,USA,,not specified
3462,5136,5718908,2,Vietnam,Female,31-40
3463,5137,7988338,1,USA,,not specified
3464,5138,7765394,1,Ireland,,not specified
3465,5139,6931899,1,Portugal,,not specified
3466,5142,8563862,3,Australia,,not specified
3467,5143,9624715,1,Australia,Female,25-30
3468,5144,7934471,4,England,Male,41+
3469,5145,9273918,21,Germany,Male,25-30
3470,5147,9406354,10,China,,not specified
3471,5148,9799599,1,USA,,not specified
3472,5149,9766317,1,Hong Kong,,not specified
3473,5152,8896644,2,Ireland,Female,18-24
3474,5153,6879904,1,Russia,Female,31-40
